Model,LeadTime_hours,MeanTrackError_km,MedianTrackError_km,N
GNO+DynGNN,6,619.5800954384625,660.9784026630364,9
GNO+DynGNN,12,587.1402142337803,566.0035264653426,9
GNO+DynGNN,24,878.0289542191592,786.1369446685594,9
GNO+DynGNN,48,935.9364022671382,1028.2377202842272,9
LSTM,6,3440.8763500364466,3557.6355493810265,9
LSTM,12,740.6358068933355,673.3457416011875,9
LSTM,24,1251.557863352365,1302.6515386703127,9
LSTM,48,1167.3190626845073,1147.5346162556475,9
Transformer,6,7820.246239937782,7753.171501992441,9
Transformer,12,2829.764117443831,2863.6788459341305,9
Transformer,24,12566.213308859942,12504.806668693354,9
Transformer,48,1020.0534199482247,955.5966376617603,9
